,"rho(0,0)","rho(0,1)","rho(0,2)","rho(0,3)","rho(1,0)","rho(1,1)","rho(1,2)","rho(1,3)","rho(2,0)","rho(2,1)","rho(2,2)","rho(2,3)","rho(3,0)","rho(3,1)","rho(3,2)","rho(3,3)"
14269,(0.03260802257513409+0j),0j,0j,0j,0j,(0.46739197742486593+0j),(-0.43478395484973187+0j),0j,0j,(-0.43478395484973187+0j),(0.46739197742486593+0j),0j,0j,0j,0j,(0.03260802257513409+0j)
14270,(0.21710185639427784+0j),0j,0j,0j,0j,(0.28289814360572213+0j),(-0.06579628721144429+0j),0j,0j,(-0.06579628721144429+0j),(0.28289814360572213+0j),0j,0j,0j,0j,(0.21710185639427784+0j)
14271,(0.1264905349952874+0j),0j,0j,0j,0j,(0.3735094650047126+0j),(-0.2470189300094252+0j),0j,0j,(-0.2470189300094252+0j),(0.3735094650047126+0j),0j,0j,0j,0j,(0.1264905349952874+0j)
14272,(0.3049013379524294+0j),0j,0j,0j,0j,(0.19509866204757056+0j),(0.10980267590485886+0j),0j,0j,(0.10980267590485886+0j),(0.19509866204757056+0j),0j,0j,0j,0j,(0.3049013379524294+0j)
14273,(0.23353838898809942+0j),0j,0j,0j,0j,(0.2664616110119005+0j),(-0.03292322202380108+0j),0j,0j,(-0.03292322202380108+0j),(0.2664616110119005+0j),0j,0j,0j,0j,(0.23353838898809942+0j)
14274,(0.08225374611133837+0j),0j,0j,0j,0j,(0.4177462538886616+0j),(-0.33549250777732326+0j),0j,0j,(-0.33549250777732326+0j),(0.4177462538886616+0j),0j,0j,0j,0j,(0.08225374611133837+0j)
14275,(0.22844595433714857+0j),0j,0j,0j,0j,(0.2715540456628514+0j),(-0.04310809132570285+0j),0j,0j,(-0.04310809132570285+0j),(0.2715540456628514+0j),0j,0j,0j,0j,(0.22844595433714857+0j)
14276,(0.06580713299442201+0j),0j,0j,0j,0j,(0.43419286700557796+0j),(-0.36838573401115593+0j),0j,0j,(-0.36838573401115593+0j),(0.43419286700557796+0j),0j,0j,0j,0j,(0.06580713299442201+0j)
14277,(0.27478991777971934+0j),0j,0j,0j,0j,(0.22521008222028063+0j),(0.04957983555943871+0j),0j,0j,(0.04957983555943871+0j),(0.22521008222028063+0j),0j,0j,0j,0j,(0.27478991777971934+0j)
14278,(0.17707416817307228+0j),0j,0j,0j,0j,(0.3229258318269277+0j),(-0.14585166365385543+0j),0j,0j,(-0.14585166365385543+0j),(0.3229258318269277+0j),0j,0j,0j,0j,(0.17707416817307228+0j)
14279,(0.11244328684941214+0j),0j,0j,0j,0j,(0.3875567131505878+0j),(-0.2751134263011757+0j),0j,0j,(-0.2751134263011757+0j),(0.3875567131505878+0j),0j,0j,0j,0j,(0.11244328684941214+0j)
14280,(0.05812527944776535+0j),0j,0j,0j,0j,(0.4418747205522347+0j),(-0.38374944110446935+0j),0j,0j,(-0.38374944110446935+0j),(0.4418747205522347+0j),0j,0j,0j,0j,(0.05812527944776535+0j)
14281,(0.09393336772839977+0j),0j,0j,0j,0j,(0.4060666322716002+0j),(-0.31213326454320045+0j),0j,0j,(-0.31213326454320045+0j),(0.4060666322716002+0j),0j,0j,0j,0j,(0.09393336772839977+0j)
14282,(0.10694673521491412+0j),0j,0j,0j,0j,(0.3930532647850859+0j),(-0.2861065295701718+0j),0j,0j,(-0.2861065295701718+0j),(0.3930532647850859+0j),0j,0j,0j,0j,(0.10694673521491412+0j)
14283,(0.28010921596710897+0j),0j,0j,0j,0j,(0.21989078403289106+0j),(0.060218431934217914+0j),0j,0j,(0.060218431934217914+0j),(0.21989078403289106+0j),0j,0j,0j,0j,(0.28010921596710897+0j)
